#ID	T_SAND	T_SILT	T_CLAY	T_USDA_TEX_CLASS	T_OC	S_SAND	S_SILT	S_CLAY	S_USDA_TEX_CLASS	S_OC
11566	86	9	5	12	0.7	82	11	7	12	0.3
11567	35	54	11	7	1.2	37	43	20	9	0.25
11568	48	28	24	9	0.83	41	25	34	5	0.4
11569	42	36	22	9	1	41	34	25	9	0.37
11570	42	38	20	9	1.45	45	35	20	9	0.5
11571	42	34	24	9	1.61	-99	-99	-99	-99	-99
11572	44	35	21	9	0.75	40	35	25	9	0.47
11573	37	44	19	9	2.13	-99	-99	-99	-99	-99
11574	75	15	10	11	0.7	68	17	15	11	0.27
11575	90	5	5	13	0.39	87	5	8	12	0.2
11576	80	9	11	11	0.45	72	9	19	11	0.26
11577	75	15	10	11	0.7	68	17	15	11	0.27
11578	87	9	4	12	2.18	88	8	4	13	0.39
11579	47	29	24	9	0.83	39	27	34	5	0.28
11580	41	37	22	9	0.74	37	34	29	5	0.36
11581	19	32	49	3	1.19	21	32	47	3	0.55
11582	80	11	9	12	0.63	68	10	22	10	0.3
11583	78	13	9	11	0.57	64	13	23	10	0.3
11584	80	10	10	12	0.55	65	13	22	10	0.26
11585	89	6	5	13	0.5	89	6	5	13	0.3
11586	37	44	19	9	0.99	31	38	31	5	0.29
11587	41	37	22	9	0.74	37	34	29	5	0.36
11588	78	13	9	11	0.57	64	13	23	10	0.3
11589	19	32	49	3	1.19	21	32	47	3	0.55
11590	25	22	53	3	0.93	23	21	56	3	0.54
11591	19	32	49	3	1.41	18	31	51	3	0.49
11592	41	37	22	9	0.74	37	34	29	5	0.36
11593	17	32	51	3	1.25	19	29	52	3	0.45
11594	37	44	19	9	0.99	31	38	31	5	0.29
11595	41	37	22	9	0.74	37	34	29	5	0.36
11596	45	36	19	9	1	39	34	27	5	0.47
11597	80	11	9	11	0.5	63	12	25	10	0.28
11598	37	44	19	9	0.99	31	38	31	5	0.29
11599	37	40	23	9	1.07	36	36	28	5	0.37
